data,dia,semana,foco,tag,secundario,questoes,acertos,feito
2026-08-03,seg,1,"Eng. Software: ciclo de vida, processos, modelos",eng-software,Portugues: interpretacao,10,7,1
2026-08-04,ter,1,Eng. Software: engenharia de requisitos,eng-software,Ingles: reading comprehension,0,0,0
2026-08-05,qua,1,"BD: modelo conceitual, logico, fisico; ER",banco-dados,RLM: aritmetica,0,0,0
2026-08-06,qui,1,"BD: normalizacao 1FN-3FN, integridade referencial",banco-dados,Legislacao: LGPD cap I-II,0,0,0
2026-08-07,sex,1,"Eng. Software: ageis - Scrum, Kanban, XP, Lean",eng-software,"Atualidades: conceitos de IA, ML",0,0,1
2026-08-08,sab,1,Revisao do caderno de erros + questoes mistas,revisao,Caderno de erros,0,0,1
2026-08-09,dom,1,SIMULADO 1,simulado,Correcao comentada,0,0,0
2026-08-10,seg,2,"BD: SQL - DDL, DML, joins, subconsultas",banco-dados,Portugues: sintaxe (periodo composto),0,0,0
2026-08-11,ter,2,"BD: SQL avancado, agregacoes, views, transacao",banco-dados,Ingles: verbos e tempos verbais,0,0,0
2026-08-12,qua,2,"Programacao: OO - heranca, polimorfismo, encapsulamento",programacao,RLM: algebra e proporcoes,0,0,0
2026-08-13,qui,2,Programacao: SOLID,programacao,Legislacao: LGPD cap III-IV,0,0,0
2026-08-14,sex,2,"Eng. Software: testes - unitarios, integracao, TDD, BDD",eng-software,Atualidades: modelos generativos e LLMs,0,0,0
2026-08-15,sab,2,Revisao + refazer erradas da semana 1,revisao,Caderno de erros,0,0,0
2026-08-16,dom,2,SIMULADO 2,simulado,Correcao comentada,0,0,0
2026-08-17,seg,3,Programacao: padroes de projeto (GoF),programacao,Portugues: morfologia e classes de palavras,0,0,0
2026-08-18,ter,3,"Programacao: GRASP, clean code, analise estatica, SonarQube",programacao,Ingles: pronomes e conectivos,0,0,0
2026-08-19,qua,3,"Arquitetura: monolitica x microsservicos, camadas, SOA",arquitetura,RLM: analise combinatoria,0,0,0
2026-08-20,qui,3,"Arquitetura: hexagonal, API gateway, containers, REST x SOAP",arquitetura,Legislacao: Marco Civil da Internet,0,0,0
2026-08-21,sex,3,"Programacao: JSON, XML, XSLT, REST, Web Services, mensageria",programacao,Atualidades: etica e governanca em IA,0,0,0
2026-08-22,sab,3,Revisao + caderno de erros acumulado,revisao,Caderno de erros,0,0,0
2026-08-23,dom,3,SIMULADO 3,simulado,Correcao comentada,0,0,0
2026-08-24,seg,4,"Java: sintaxe, tipos, colecoes, excecoes",java,Portugues: pontuacao e crase,0,0,0
2026-08-25,ter,4,"Java EE / Jakarta EE: EJB, servlets, container web",java,Ingles: substantivos e compostos,0,0,0
2026-08-26,qua,4,"JPA e Hibernate: ORM, mapeamento, ciclo de vida da entidade",java,RLM: estatistica basica,0,0,0
2026-08-27,qui,4,"Spring: Boot, injecao de dependencia, anotacoes",java,Legislacao: LAI (Lei 12.527 e decretos),0,0,0
2026-08-28,sex,4,"Spring Cloud, JUnit, JSF, Primefaces",java,Atualidades: IA em politicas publicas,0,0,0
2026-08-29,sab,4,Revisao pesada de Java + caderno de erros,revisao,Caderno de erros,0,0,0
2026-08-30,dom,4,SIMULADO 4,simulado,Correcao comentada,0,0,0
